name,sex,tot
Jarrod,M,22991
Jarvis,M,13108
Jase,M,16727
Jasmin,F,41657
Jasmine,F,240782
Jason,M,1021544
Jasper,M,31378
Javier,M,92596
Javon,M,14414
Jax,M,11778
Jaxon,M,62485
Jaxson,M,35494
Jay,M,183160
Jayce,M,21864
Jaycee,F,6976
Jayceon,M,6843
Jayda,F,16633
Jayden,F,19882
Jayden,M,190738
Jaydon,M,7184
Jayla,F,36000
Jaylah,F,6834
Jaylee,F,5074
Jayleen,F,7711
Jaylen,M,30834
Jaylene,F,6017
Jaylin,F,6085
Jaylin,M,8393
Jaylon,M,8037
Jaylynn,F,6615
Jayme,F,10180
Jayne,F,23548
Jayson,M,28461
Jazlyn,F,10819
Jazmin,F,38813
Jazmine,F,33873
Jazmyn,F,6848
Jean,F,446012
Jean,M,17831
Jeanette,F,155129
Jeanie,F,12449
Jeanine,F,19931
Jeanna,F,5405
Jeanne,F,158342
Jeannette,F,61245
Jeannie,F,31739
Jeannine,F,20638
Jeff,M,114478
Jefferson,M,15298
Jeffery,M,226658
Jeffrey,M,971504
Jeffry,M,11737
Jena,F,9458
Jenifer,F,22144
Jenna,F,141568
Jennie,F,90695
Jennifer,F,1464257
Jenny,F,86060
